
timestamp,d,y,p,r,a_x,a_y,a_z
15:19:10.107,64,-51.31,29.21,-6.96,-921,-87,-4097
15:19:10.210,66,-51.07,29.13,-6.84,-906,-86,-4039
15:19:10.317,67,-50.86,29.06,-6.76,-868,-85,-4031
15:19:10.393,70,-50.66,29.02,-6.68,-832,-152,-4071
15:19:10.541,67,-52.20,28.69,-5.21,-683,151,-4026
15:19:10.645,70,-52.42,28.72,-5.29,-655,71,-4074
15:19:10.714,68,-52.67,28.79,-5.33,-628,-25,-4136
15:19:10.823,68,-52.94,28.91,-5.33,-623,-49,-4118
15:19:10.894,69,-53.24,29.05,-5.34,-657,36,-4008
15:19:11.069,71,-57.59,31.41,-8.82,-1179,412,-3966
15:19:11.139,69,-57.52,31.45,-8.97,-1199,363,-4022
15:19:11.246,70,-57.42,31.46,-9.10,-1235,351,-4057
15:19:11.319,70,-57.29,31.43,-9.23,-1241,313,-4075
15:19:11.468,76,-49.16,30.94,-8.57,-1191,8,-4140
15:19:11.578,71,-48.75,30.89,-8.47,-1214,-31,-4206
15:19:11.685,72,-48.34,30.81,-8.34,-1223,-76,-4272
15:19:11.756,68,-47.94,30.75,-8.19,-1224,-81,-4270
15:19:11.861,71,-47.53,30.67,-8.04,-1220,-103,-4266
15:19:12.001,69,-40.47,29.29,-4.16,-998,-98,-4222
15:19:12.072,68,-40.54,29.22,-4.11,-943,-72,-4162
15:19:12.180,65,-40.61,29.16,-4.11,-909,-53,-4180
15:19:12.288,69,-40.72,29.08,-4.12,-906,-108,-4290
15:19:12.360,68,-40.84,28.97,-4.07,-883,-169,-4342
15:19:12.508,64,-47.11,29.63,-4.96,-1112,205,-4080
15:19:12.618,63,-47.31,29.70,-5.10,-1151,171,-4143
15:19:12.690,69,-47.50,29.83,-5.21,-1184,161,-4188
15:19:12.797,68,-47.66,29.95,-5.31,-1214,191,-4190
15:19:12.872,67,-47.80,30.03,-5.43,-1250,239,-4173
15:19:13.048,69,-45.25,31.35,-8.75,-1479,-7,-4237
15:19:13.119,69,-44.94,31.32,-8.74,-1543,-22,-4311
15:19:13.231,72,-44.59,31.32,-8.69,-1583,-9,-4333
15:19:13.307,68,-44.23,31.31,-8.65,-1585,-5,-4289
15:19:13.418,74,-43.85,31.29,-8.60,-1581,-1,-4266
15:19:13.552,67,-30.89,29.18,-5.18,-834,-521,-4207
15:19:13.658,66,-30.64,29.03,-5.01,-876,-508,-4149
15:19:13.728,65,-30.39,28.90,-4.87,-949,-470,-4086
15:19:13.832,69,-30.14,28.79,-4.74,-1006,-436,-4029
15:19:13.978,70,-31.39,28.65,-3.81,-620,3,-3766
15:19:14.080,72,-31.67,28.75,-3.94,-648,-22,-3856
15:19:14.151,69,-31.95,28.87,-4.06,-690,-49,-3952
15:19:14.262,69,-32.23,29.03,-4.15,-716,-55,-4031
15:19:14.330,67,-32.48,29.22,-4.22,-765,-4,-4070
15:19:14.469,66,-38.07,32.95,-8.23,-1336,81,-4340
15:19:14.577,65,-37.96,33.01,-8.28,-1327,76,-4305
15:19:14.679,65,-37.82,33.08,-8.34,-1286,74,-4246
15:19:14.752,69,-37.67,33.13,-8.44,-1195,17,-4233
15:19:14.857,64,-37.55,33.17,-8.54,-1162,-38,-4310
15:19:15.002,68,-27.74,33.18,-7.64,-1116,-540,-4085
15:19:15.102,68,-27.30,33.19,-7.52,-1065,-521,-4064
